Natural_language_description,Code1,Code2
see output ls xls command,None,"$ ls *.xls
ls: cannot access *.xls: No such file or directory
$ echo $?
2

$ ls
$ echo $?
0
"
command combine text lines time,None,"split -l 100 --numeric-suffixes--additional-suffix=.tmp The_Big_File fragment_  
for f in fragment_[0-9][0-9].tmp ; do  
    tr ""\n"" "" "" <$f  
    echo  
    rm $f
done
"
regex conversion,None,"sudo sed -i.bak 's/^\(GRUB_TIMEOUT=\)[0-9]\+$/\12/' /etc/default/grub
"
change niceness process name,None,"pgrep java | xargs -n 1 echo renice -n 5 -p
"
set java home users elasticsearch program,None,"sudo echo ""JAVA_HOME=/home/mockie/softwares/jdk1.8.0_45"" >> /etc/profile
"
finding string within variable bash,None,"string=""/opt/directory/""
if [[ $string != *directory* ]]; then
    echo ""not found""
else
    echo ""found""
fi
"
unicode characters displayed wrong bash,None,"sudo apt install fonts-powerline
"
personalize command prompt,None,"muru:~ $ PS1='$PWD $ '
/home/muru $ 
"
schedule clamav perform daily scan,None,"0 18 * * SUN root rm -rf /var/log/clamav/freshclam.log
1 18 * * SUN root freshclam
22 18 * * SUN root clamscan -r -i / | grep FOUND >> /home/osamu/virus-scan-reports/virus-scan-report-`date +""\%d-\%m-\%Y""`.txt
"
aliasing gedit suppress terminal output,None,"function gedit-bg() {
    if [ ! -n ""$1"" ]; then
        echo ""USAGE: gedit <filename>"";
    else
        ( \gedit ""$1"" > /dev/null 2>&1 & );
    fi
}

alias gedit=""gedit-bg""
"
zip multiple files command line,None,"zip -9 -r filename.zip /path/to/dir singlefile.jpg 
"
bash c v value echo v displays nothing,None,"$ bash -c 'v=value;echo $v'
value
"
detect tool already execution current user,None,"#!/bin/bash
if pgrep -u ""$USER"" my-tool &>/dev/null; then
    echo 'You already have my-tool running'
else
    /path/to/my_tool
fi
"
eagle executes however bash eagle,None,"alias eagle='/home/metin/eagle-7.6.0/bin/eagle'
"
execute binary file bash program runs program,None,cd /path/to; ./program
replacing characters characters,None,"sed -i 's/ /+/g' filename
"
running custom command gnome terminal profile,None,"[Desktop Entry]
Encoding=UTF-8
Name=Edit to add name
Exec=gnome-terminal -e --window-with-profile=PROFILENAME ""source $HOME/.dev_profile""
Terminal=true
Type=Application
NoDisplay=true
"
recursively get directories contain txt file name containing directory bash,None,"shopt -s globstar
for f in ./**/*.txt; do
    d=""$(dirname ""$f"")""
    if [[ $(basename ""$f"") == $(basename ""$d"").txt ]]; then
        printf '%s\n' ""$d""
    fi
done
"
run c c program using context menu right click option,None,gcc -o Cpp1 Cpp1.cpp
extract last x chars string variable,None,"String=""This is some text""
StrLen=`echo ${String} | wc -c`
From=`expr $StrLen - 5`
echo $String | cut -c${From}-${StrLen}
"
use read ra inline,None,"os.system('/bin/bash -c \'IFS=""."";for f in data/* ; do read -ra ADDR <<< ""$f"";     mv ""$f"" ""data/${ADDR[-1]}""; done; \' ')
"
cal h command bash substring string offset length error,None,"cal > /tmp/terminal1
tr -cd '\11\12\15\40\60-\136\140-\176' < /tmp/terminal1  > /tmp/terminal
"
open visual studio code,None,sudo chown -R user /home/user/.config/Code
script show git branch bash longer works ubuntu,None,git init
condition different values within certain range boundary,None,"#!/bin/sh

x=3.5
y=-2.5
x=""$x"" y=""$y"" awk 'BEGIN{ 
        print ENVIRON[""x""],ENVIRON[""y""];
        if ((ENVIRON[""x""] >= 0.1) && (ENVIRON[""x""] <= 5.5) \
           && (ENVIRON[""y""] >= -5.9) &&  (ENVIRON[""y""] <= -0.1)){
              print ""good"";
        }
        else if ((ENVIRON[""x""] >= 5.5) && (ENVIRON[""x""] <= 10.5) \
           && (ENVIRON[""y""] >= -10.9) &&  (ENVIRON[""y""] <= -5.9)){
             print ""bad"";
        }

}' # End of awk
"
set boolean value curl command used bash script,None,"if [ ""$sx"" = ""male"" ]; then
    sex=""true"";     # or whatever you consider male sex to be
else
    sex=""false"";    # just the opposite, see above
fi

curl -d '{""name"":""'""$name""'"", ""sex"":'$sex'}' -H ""Content-Type: application/json"" -X POST http://localhost:8080/setacc
"
bash u app oracle product xe bin nls lang sh file directory message appears terminal window,None,"# export ORACLE_HOME=/u01/app/oracle/product/11.2.0/xe
# export ORACLE_SID=XE
# export NLS_LANG=`$ORACLE_HOME/bin/nls_lang.sh`
# export ORACLE_BASE=/u01/app/oracle
# export LD_LIBRARY_PATH=$ORACLE_HOME/lib:$LD_LIBRARY_PATH
# export PATH=$ORACLE_HOME/bin:$PATH

# and this one too
# source ~/.bashrc
"
bash script hangs processing ubuntu,None,"sed -r 's/^[^|]+\|[^|]+\|([^|]+)\|[^|]+\|([^|]+)\|.+\( .+, ([^ ]+).+/\2:\3,\1/' <in.dat >out.dat
"
folder comparison,None,new_dirs=(`ls -1d $f* 2> /dev/null`);
bashrc alias command fixed second parameter,None,"alias trash='mv -t ~/.local/share/Trash/files'
"
execute save log,None,"for i in $(cat $file_name);do echo $i; ./script.pl $i>>file & done
"
change l code many files ubuntu,None,"sed 's|\x0c|/f|g'
"
pass password password input,None,"-A | --authentication-file=filename

This option allows you to specify a file from which to read the username 
and password used in the connection. The format of the file is

username = <value>
password = <value>
domain   = <value>

Make certain that the permissions on the file restrict access 
from unwanted users.
"
check whether user input equal one elements array,None,"#!/bin/bash

declare -A array=([one]=1 [two]=1 [tree]=1 [four]=1 [five]=1)

m=""Guess? ""

while true; do   
    read -r -p ""$m"" i
    [[ ${array[$i]} == 1 ]] && break || m=""Guess again? ""
done  

echo ""Good guess!""
"
show amset spam terminal pressing b key,None,"
$include /etc/inputrc 
set completion-ignore-case On 
bind TAB:menu-complete 
bind ""set show-all-if-ambiguous on
"
way get table contents man page,None,"zcat ""$(man -w ls)"" | grep '^\.[sS][hH]'"
bash detect variable certain amount characters,None,"#!/bin/bash
echo -n ""Enter message with less than 8 characters: ""
read detect
while [[ ${#detect} -gt 8 ]]
do
        echo -n ""Length of the message was greater than 8. Try again...: ""
        read detect
done
echo $detect 
#and the rest of the code continues
"
redirect output command function suppress error output console,None,"command 2> /dev/null | my_func 
"
run commands batches,None,"batch() {
    for arg; do
        theCommand ""$arg"" &
    done
    wait
}

batch file{1..6}
batch file{7..12}
"
unexpected end file bashrc ubuntu,None,"fiexport ANDROID_HOME=""/home/thiyo/Android/Sdk/""
"
awk f work,None,awk -F:  ...
reading file line line,None,"# you can of course also read this from a file
test_string = """"""
   ...: @ATDGGSGDTSG
   ...: 
   ...: NTCCCCC
   ...: 
   ...: +
   ...: 
   ...: nddhdhnadn
   ...: 
   ...: @ATDGGSGDTSG
   ...: 
   ...: NTCCCCC
   ...: 
   ...: +
   ...: 
   ...: nddhdhnadn
   ...: """"""

# put it into a list
test_li = test_string.split()

# output your list
print test_li 
['@ATDGGSGDTSG',
'NTCCCCC',
 '+',
 'nddhdhnadn',
 '@ATDGGSGDTSG',
 'NTCCCCC',
 '+',
 'nddhdhnadn']

 # select the lines you are interested in
 for line in test_li:
    if line.startswith('@'):
        continue
    if line == '+':
        continue
    if line.islower():
        continue
    print line
"
print text file every three line start nd line,None,"seq 20 | sed -n '2~3p'
"
sed awk make lines starting lower characters merged previous line,None,"sed -n '
1h
1!H
$ {
        g
        s/\n\n/<br>/g
        p
}
' | \
sed -n '
1h
1!H
$ {
        g
        s/\n/ /g
        p
}
' | \
sed -e 's/<br>/\n/g'
"
upgrade package without removing dependencies,None,apt-get upgrade
figure package something without resorting google,None,"$ sphinx-build

The program 'sphinx-build' is currently not installed.  You can install it by typing:
sudo apt-get install python-sphinx
"
preset aliases users,None,"alias foo='bar --baz'
alias baz='foo --bar'
"
extract text pair character,None,"$ echo ""blahŤfoobar1Ťblah"" | awk -FŤ '{ print $2 }'
foobar1
"
divide output delimiters,None,"echo $sentence |
perl -C -ne 'do {print} while(s/(.*)[ ·].*/$1/)'
"
make alias work inside file,None,"petsc() {
    ~/petsc-3.2-p6/petsc-arch/bin/mpiexec ""$@""
}
export -f petsc
"
automatic suspend computer suspend soon inactivity disable,None,"gsettings set org.gnome.settings-daemon.plugins.power sleep-inactive-ac-type ""nothing""
"
bc decimal separator comma vs point,None,"alias bcl='xmodmap -e ""keycode 91 mod2 = KP_Delete period""; bc -l; xmodmap -e ""keycode 91 mod2 = KP_Delete comma""'
"
run cron job using sudo command,None,"sudo crontab -e
"
find ppa fcron,None,"03/03/2013  fcron 3.1.2 released
01/01/2013  fcron 3.1.1 released
12/19/2012  fcron 3.1.0 released
12/05/2012  fcron git repository
04/05/2010  fcron 3.0.6 released
"
run script per day cron without specifying execution time,None,"@reboot /full_path/to/script
"
possible schedule downloads required upgrade,None,"$ sudo bash
# sleep 5h
# apt-get dist-upgrade --download-only
"
run crontab user www data,None,"sudo crontab -u www-data -e
"
run command within time duration per min sec,None,"#!/bin/bash
FILE=$(date +""prefix%Y%m%d"")
echo ""The filename for today is ""$FILE
"
get updated ip address mailed dnsexit,None,"#!/bin/bash
filemtime=`stat -c %Y /tmp/dnsexit-ip.txt`
currtime=`date +%s`
diff=$(( (currtime - filemtime) / 300 ))
x=1

if [ $diff -eq  $x ]
  then
    SUBJECT=""DCHP CHANGE""
    EMAIL=""youremail@example.com""
    EMAILMESSAGE=""/tmp/emailmessage.txt""

    echo ""Contents of dnsexit-ip.txt"" >$EMAILMESSAGE
    cat /tmp/dnsexit-ip.txt >> $EMAILMESSAGE
    echo ""Contents of dnsexit.log"" >>$EMAILMESSAGE
    cat /var/log/dnsexit.log >> $EMAILMESSAGE

    sudo /usr/bin/mail -s ""$SUBJECT"" ""$EMAIL"" < $EMAILMESSAGE
 fi
"
add user separate filesystem armel,None,mount --bind
ubuntu completely remove anacron,None,"sudo chmod a-x /usr/sbin/anacron
sudo chmod a-x /etc/init.d/anacron
"
cron creating empty files root directory,None,"wget -a /dev/null https://domain/script.php
"
put availabe disk space filename,None,"touch `df -h --output='avail' / | tail -1`.available
"
cronjob output show terminal,None,tail -f
create cron job monitor status port,None,nc -z localhost port_num
performance loss minutes,None,"sudo smartctl --smart=off /dev/sda
"
ifdown cron bash script fails run,None,"/sbin/wpa_cli -i eth1 reconfigure
"
start steam cron job,None,"cd ~/steamcmd
./steamcmd.sh
"
run cronjob times minutes one specific hour,None,"0-30/3 8 * * *
"
cron job work put etc cron hourly work defined crontab e,None,"1 1 * * * root /bin/foo   // root crontab in /etc/cron*
1 1 * * * /bin/foo        // user crontab in /var/spool (see it using the 'crontab' command
"
logrotate deleting logs,None,"int readAllConfigPaths(const char **paths)
{
    int i, result = 0;
    const char **file;
    struct logInfo defConfig = {
                .pattern = NULL,
                .files = NULL,
                .numFiles = 0,
                .oldDir = NULL,
                .criterium = ROT_SIZE,
                .threshhold = 1024 * 1024,
                .minsize = 0,
                .maxsize = 0,
                .rotateCount = 0,
                ...
                <truncated>
"
see full cron log day less,None,"sudo zgrep CRON /var/log/syslog*
"
make cron create cron log monitor real time,None,"Anacron job 'cron.daily' on dell 
Anacron <MyRealName@gmail.com>
4:05 AM (15 hours ago)

to root, bcc: me 
/etc/cron.daily/daily-backup:
bin/
bin/.websync.new
bin/log-gsu-del
bin/now
bin/lid
bin/usb-suspend
bin/edmonton
bin/toggle-touchpad
bin/edmonton.2
bin/dbus-screen-lock
bin/test
bin/log-gsu-testfile
bin/one-cpu-pids
bin/dkms-gui
bin/test-parms
bin/log-gsu-zenity-test
bin/log-boot
bin/adpative-brightness-configuration-file
bin/strip-first-rec
bin/log-gsu-nautilus
bin/.websync.ver2
bin/sed-limit-file
bin/new2
bin/backup
bin/websyncExpandListArr2
bin/seconds
bin/adaptive-brightness-configuration-file
bin/sudotest
bin/testver
bin/zenity-test
bin/log-cron
bin/adaptive-brightness-config
bin/gtk-icons
bin/secSunset
bin/deltest2
bin/snakes
bin/.websync.new2
bin/indicator-sysmonitor-display
bin/strip-first-rec2
bin/894470
bin/rm2
bin/bafman
bin/NIGHTMARE
bin/gsu
bin/log-gsu-geit
bin/lock-screen-timer
bin/grab-website-images
bin/websync
bin/hotplugtv
bin/websyncExpandListArr
bin/log-hotplugtv
bin/ProgressBar
bin/summary-log
bin/cpu-top-summary
bin/yad_notification
bin/log-file
bin/log-gsu-gedit
bin/dbus-unlock-screen
bin/log-gsu-log-file
bin/log-gsu-50_r8169-ethernet
bin/deltest3
bin/start-conky
bin/testwget
bin/r8169
bin/stat.c_diff
bin/text-spinner
bin/.websync.sav
bin/log-gsu-daily-backup
bin/stat.c
bin/.websync
bin/cron-minute-test
bin/edmonton.1
bin/ListArr
tar: Removing leading `/' from member names
/usr/local/bin/
/usr/local/bin/iwlwifi-reset
/usr/local/bin/windows
/usr/local/bin/.auto-brightness-config
/usr/local/bin/zenity
/usr/local/bin/spawn-progress-multi
/usr/local/bin/full-backup
/usr/local/bin/top-of-hour-chime
/usr/local/bin/sun-hours
/usr/local/bin/kill-previous-version
/usr/local/bin/rm-kernels-debug
/usr/local/bin/sunrise
/usr/local/bin/bell/
/usr/local/bin/bell/sounds/
/usr/local/bin/bell/sounds/Slick.ogg
/usr/local/bin/bell/sounds/Blip.ogg
/usr/local/bin/bell/sounds/Positive.ogg
/usr/local/bin/bell/sounds/Amsterdam.ogg
/usr/local/bin/bell/sounds/message.ogg
/usr/local/bin/bell/sounds/bell.ogg
/usr/local/bin/bell/sounds/Mallet.ogg
/usr/local/bin/bell/sounds/Rhodes.ogg
/usr/local/bin/bell/sounds/default.ogg
/usr/local/bin/bell/bell-select-menu
/usr/local/bin/playall-bells
/usr/local/bin/testfile.touch
/usr/local/bin/cron-reboot-cycle-grub-background
/usr/local/bin/zaprestore
/usr/local/bin/zap/
/usr/local/bin/zap/hello.o
/usr/local/bin/zap/Assembly-Intro-hello/
/usr/local/bin/zap/Assembly-Intro-hello/FreeBSD/
/usr/local/bin/zap/Assembly-Intro-hello/FreeBSD/hello
/usr/local/bin/zap/Assembly-Intro-hello/FreeBSD/hello.asm
/usr/local/bin/zap/Assembly-Intro-hello/BeOS/
/usr/local/bin/zap/Assembly-Intro-hello/BeOS/hello
/usr/local/bin/zap/Assembly-Intro-hello/BeOS/hello.asm
/usr/local/bin/zap/Assembly-Intro-hello/Linux/
/usr/local/bin/zap/Assembly-Intro-hello/Linux/hello
/usr/local/bin/zap/Assembly-Intro-hello/Linux/hello.asm
/usr/local/bin/zap/hello.asm
/usr/local/bin/zapboot
/usr/local/bin/rm-kernels
/usr/local/bin/doug-rm-kernels-server
/usr/local/bin/echo
/usr/local/bin/startup-scripts/
/usr/local/bin/testver
/usr/local/bin/spawn-progress-log
/usr/local/bin/sunset
/usr/local/bin/change-attributes
/usr/local/bin/rm-kernels-server
/usr/local/bin/bottom-of-hour-chime
/usr/local/bin/rm2
/usr/local/bin/spawn-progress-bar
/usr/local/bin/Link to auto-brightness-config
/usr/local/bin/auto-brightness-config
/usr/local/bin/892077
/usr/local/bin/set-hyper-threading
/usr/local/bin/bell-menu
/usr/local/bin/display-auto-brightness
/usr/local/bin/dd
/usr/local/bin/load-default-bell
tar: Removing leading `/' from member names
/etc/cron.d/
/etc/cron.d/turn-off-hyper-threading
/etc/cron.d/anacron
/etc/cron.d/test-reboot
/etc/cron.d/php
/etc/cron.d/.placeholder
/etc/cron.d/test-directory/
/etc/cron.d/display-auto-brightness
/etc/cron.d/touch-vmlinuz
/etc/cron.d/popularity-contest
/etc/cron.d/cycle-grub-background
/etc/cron.daily/
/etc/cron.daily/bsdmainutils
/etc/cron.daily/sun-hours
/etc/cron.daily/google-earth
/etc/cron.daily/dpkg
/etc/cron.daily/update-notifier-common
/etc/cron.daily/0anacron
/etc/cron.daily/daily-backup
/etc/cron.daily/apt-compat
/etc/cron.daily/google-chrome
/etc/cron.daily/man-db
/etc/cron.daily/logrotate
/etc/cron.daily/passwd
/etc/cron.daily/apport
/etc/cron.daily/.placeholder
/etc/cron.daily/upstart
/etc/cron.daily/mlocate
/etc/cron.daily/popularity-contest
/etc/cron.daily/cracklib-runtime
/etc/cron.hourly/
/etc/cron.hourly/.placeholder
/etc/cron.monthly/
/etc/cron.monthly/0anacron
/etc/cron.monthly/.placeholder
/etc/crontab
/etc/cron.weekly/
/etc/cron.weekly/apt-xapian-index
/etc/cron.weekly/update-notifier-common
/etc/cron.weekly/0anacron
/etc/cron.weekly/man-db
/etc/cron.weekly/.placeholder
/etc/cron.weekly/fstrim
tar: Removing leading `/' from member names
/etc/systemd/
/etc/systemd/system/
/etc/systemd/system/graphical.target.wants/
/etc/systemd/system/graphical.target.wants/accounts-daemon.service
/etc/systemd/system/dbus-org.freedesktop.ModemManager1.service
/etc/systemd/system/sysinit.target.wants/
/etc/systemd/system/sysinit.target.wants/brltty.service
/etc/systemd/system/sysinit.target.wants/systemd-timesyncd.service
/etc/systemd/system/sysinit.target.wants/resolvconf.service
/etc/systemd/system/sysinit.target.wants/friendly-recovery.service
/etc/systemd/system/bluetooth.target.wants/
/etc/systemd/system/bluetooth.target.wants/bluetooth.service
/etc/systemd/system/dbus-org.freedesktop.thermald.service
/etc/systemd/system/printer.target.wants/
/etc/systemd/system/printer.target.wants/cups.service
/etc/systemd/system/multi-user.target.wants/
/etc/systemd/system/multi-user.target.wants/unattended-upgrades.service
/etc/systemd/system/multi-user.target.wants/cron.service
/etc/systemd/system/multi-user.target.wants/tlp.service
/etc/systemd/system/multi-user.target.wants/dns-clean.service
/etc/systemd/system/multi-user.target.wants/ufw.service
/etc/systemd/system/multi-user.target.wants/rsyslog.service
/etc/systemd/system/multi-user.target.wants/cgproxy.service
/etc/systemd/system/multi-user.target.wants/snapd.firstboot.service
/etc/systemd/system/multi-user.target.wants/cups.path
/etc/systemd/system/multi-user.target.wants/pppd-dns.service
/etc/systemd/system/multi-user.target.wants/snapd.service
/etc/systemd/system/multi-user.target.wants/smartd.service
/etc/systemd/system/multi-user.target.wants/whoopsie.service
/etc/systemd/system/multi-user.target.wants/anacron.service
/etc/systemd/system/multi-user.target.wants/cgmanager.service
/etc/systemd/system/multi-user.target.wants/atd.service
/etc/systemd/system/multi-user.target.wants/lm-sensors.service
/etc/systemd/system/multi-user.target.wants/cups-browsed.service
/etc/systemd/system/multi-user.target.wants/remote-fs.target
/etc/systemd/system/multi-user.target.wants/ModemManager.service
/etc/systemd/system/multi-user.target.wants/NetworkManager.service
/etc/systemd/system/multi-user.target.wants/thermald.service
/etc/systemd/system/multi-user.target.wants/avahi-daemon.service
/etc/systemd/system/multi-user.target.wants/snapd.autoimport.service
/etc/systemd/system/multi-user.target.wants/snapd.core-fixup.service
/etc/systemd/system/multi-user.target.wants/snapd.boot-ok.service
/etc/systemd/system/multi-user.target.wants/binfmt-support.service
/etc/systemd/system/multi-user.target.wants/networking.service
/etc/systemd/system/multi-user.target.wants/vnstat.service
/etc/systemd/system/dbus-org.freedesktop.Avahi.service
/etc/systemd/system/display-manager.service.wants/
/etc/systemd/system/display-manager.service.wants/gpu-manager.service
/etc/systemd/system/timers.target.wants/
/etc/systemd/system/timers.target.wants/apt-daily.timer
/etc/systemd/system/timers.target.wants/snap-repair.timer
/etc/systemd/system/timers.target.wants/snapd.refresh.timer
/etc/systemd/system/timers.target.wants/apt-daily-upgrade.timer
/etc/systemd/system/getty.target.wants/
/etc/systemd/system/getty.target.wants/getty@tty1.service
/etc/systemd/system/syslog.service
/etc/systemd/system/sockets.target.wants/
/etc/systemd/system/sockets.target.wants/avahi-daemon.socket
/etc/systemd/system/sockets.target.wants/uuidd.socket
/etc/systemd/system/sockets.target.wants/snapd.socket
/etc/systemd/system/sockets.target.wants/cups.socket
/etc/systemd/system/sockets.target.wants/acpid.socket
/etc/systemd/system/sockets.target.wants/apport-forward.socket
/etc/systemd/system/default.target.wants/
/etc/systemd/system/default.target.wants/ureadahead.service
/etc/systemd/system/display-manager.service
/etc/systemd/system/hibernate.target.wants/
/etc/systemd/system/hibernate.target.wants/anacron-resume.service
/etc/systemd/system/dbus-org.bluez.service
/etc/systemd/system/network-online.target.wants/
/etc/systemd/system/network-online.target.wants/networking.service
/etc/systemd/system/dbus-org.freedesktop.nm-dispatcher.service
/etc/systemd/system/final.target.wants/
/etc/systemd/system/final.target.wants/snapd.system-shutdown.service
/etc/systemd/system/sleep.target.wants/
/etc/systemd/system/sleep.target.wants/tlp-sleep.service
/etc/systemd/system/paths.target.wants/
/etc/systemd/system/paths.target.wants/acpid.path
/etc/systemd/system/suspend.target.wants/
/etc/systemd/system/suspend.target.wants/anacron-resume.service
/etc/systemd/system/hybrid-sleep.target.wants/
/etc/systemd/system/hybrid-sleep.target.wants/anacron-resume.service
/etc/systemd/user/
/etc/systemd/resolved.conf
/etc/systemd/network/
/etc/systemd/sleep.conf
/etc/systemd/system.conf
/etc/systemd/bootchart.conf
/etc/systemd/logind.conf
/etc/systemd/journald.conf
/etc/systemd/user.conf
/etc/systemd/timesyncd.conf
tar: Removing leading `/' from member names
/lib/systemd/system-sleep/
/lib/systemd/system-sleep/iwlwifi-reset
/lib/systemd/system-sleep/r8169-reset
/lib/systemd/system-sleep/wpasupplicant
/lib/systemd/system-sleep/sound
/lib/systemd/system-sleep/hdparm
/lib/systemd/system-sleep/display-auto-brightness
tar: Removing leading `/' from member names
/etc/rc.local
tar: Removing leading `/' from member names
/etc/default/grub
Desktop/
Desktop/Link to websync
Desktop/Link to MyEmployer Expense Report.xlsx
Desktop/Link to bafman
Desktop/Lock Screen Timer
Desktop/Link to To-Do List.odt
Desktop/IG.ods
Desktop/Link to auto-brightness-config
Desktop/KillDuplicate
Desktop/Conky
Desktop/Link to Payroll Hours.ods
Documents/34 Shaunessy repairs.odt
Documents/Edmotnon TV Channels.ods
Documents/Fan Control.odt
Documents/intel_cstate.idle_max=1.odt
Documents/Little Mermaid Pez.odt
Documents/Music File Diff.odt
Documents/Sorry I missed Thanksgiving Dinner.odt
Documents/Stanley Cup 2017.odt
Documents/To-Do List.odt
.asunder
.asunder_album_artist
.asunder_album_genre
.asunder_album_title
.BafmanDirs
.bafmanDirs
.bafmanDirs~
.BafmanDirs.sav
.bafmanDirs.sav
.bafmanDirs.sav2
.bafmanDirs.sav3
.bafmanDirs.sav4
.bafmanFiles
.bafmanFiles~
.bafmanFiles.sav
.bafmanFiles.sav2
.bafmanFiles.sav3
.bafmanFiles.sav4
.bafmanLog
.bafmanNdx
.bafmanSort
.bash_history
.bash_logout
.bashrc
.conkyrc
.conkyrc~
.dmrc
.dpkg.list
.gksu.lock
.ICEauthority
.ilg-config
.indicator-sysmonitor.json
.last-text-spinner
.lesshst
.mbr.sav
.mtab.fuseiso
.nvidia-settings-rc
.packages
.profile
.selected_editor
.sudo_as_admin_successful
.Wammu
.websync
.websync~
.websync.bad.sort
.websyncNdx
.websync.sav
.websyncSort
.wget-hsts
.Xauthority
.xinputrc
.xscreensaver
.xsession-errors
.xsession-errors.old
"
copy every day another two destinations,None,"#!/bin/bash 
# use hidden link
last=$HOME/.last_destination
#
declare -a dirs
dirs[0]=""destination.0""
dirs[1]=""destination.1""
#
target=
#
# If $last is a link, it points to the last used directory. Otherwise,
# initialize it and use $HOME/destination.0
if [[ -L ""$last"" ]] ; then
    # get the name of the linked dir
    old=""$(stat  --printf=""%N"" ""$last"" | cut -d\' -f4)""
    if [[ ""$old"" == ""${dirs[0]}"" ]] ; then
        target=""${dirs[1]}""
    else
        target=""${dirs[0]}""
    fi
else
    # ""$last"" is not a link - first time initialization
    target=""${dirs[0]}""
fi
# now, with $target set, point the $last link at $target, for next time
rm ""$last""
ln -s ""$target"" ""$last""
#
# debugging printouts - remove in real life
echo ""$target""
ls -l ""$last""
"
bin rm invalid option running command cronjob,None,"crontab -l
crontab -e # enter commands here again
"
start nginx reboot automatically,None,"proxy_pass https://<IP-OF-YOUR-SERVER>:8443;
"
gparted show usb stick,None,"fdisk /dev/sda
mkfs -t vfat /dev/sda1
"
ubuntu server live cd rescue mode run fsck,None,"fsck.ext4 -f /dev/sda1
"
find fsck next boot,None,"sudo /usr/lib/update-notifier/update-motd-fsck-at-reboot --force
"
kernel message cpu attaching null sched domain mean,None,"echo 0 > /sys/devices/system/cpu/cpu6/online
echo 1 > /sys/devices/system/cpu/cpu6/online
"
format fat filesystem infected windows virus write protected,None,"sudo mkfs.vfat /dev/sdb1
"
force fsck ext reboot really forceful,None,sudo touch /forcefsck
setup ftp use locally hosted wordpress,None,"sudo chown -R www-data wordpress
"
ftp changes file permisions,None,man vsftpd.conf
troubleshoot dd error copying image sd card,None,sudo imagewriter
connect local server,None,"ftp {user}:{password}@{server}
"
changes sd card undone mount e g deleted files appear,None,"sudo sdtool /dev/mmcblk0 unlock
"
remove os free space,None,"bless --device /dev/disk0s1 --setBoot --legacy
"
enough space build proposed filesystem setting superblock,None,"sudo mkfs.ext4 /dev/sdb5
"
skip boot time fsck check preferably editing grub menu entry,None,"tune2fs -c 50 /dev/sda1
"
edit add delete rename files folders ubuntu server using filezilla,None,ls -alh
download directory ftp,None,"curl -u user:password 'ftp://site/folder/file.txt' -o /tmp/file.txt
"
sync option used dd command,None,"dd if=disk.img of=/dev/rmt0 bs=1k conv=sync
"
moving entire linux installation another drive,None,cp -a
way whitlist ip block everything else,None,"sudo ufw allow from <target> to <destination> port <port number>
"
undeletable directory lost found,None,"sudo -u 6666 -g 19312 rm -rf ./#1589030
"
delete bootable flag partition,a,"sudo apt-get install gparted
"
make bootable usb iso file greater gb,None,"sudo mkfs.ext4 /dev/USB0
"
unable merge two partitions pendrive using gparted,'diskpart',"sudo apt install gparted
"
getting checksum file vsftpd,None,"#!/bin/bash    
HOST=""your.ftp.host.dom""
USER=""username""
PASS=""password""
FTPURL=""ftp://$USER:$PASS@$HOST""
LCD=""/path/of/your/local/dir""
RCD=""/path/of/your/remote/dir""
#DELETE=""--delete""
lftp -c ""set ftp:list-options -a;
open '$FTPURL';
lcd $LCD;
cd $RCD;
mirror --reverse \
       $DELETE \
       --verbose \
       --exclude-glob a-dir-to-exclude/ \
       --exclude-glob a-file-to-exclude \
       --exclude-glob a-file-group-to-exclude* \
       --exclude-glob other-files-to-exclude""
"
skipping acquire configured file main binary packages,None,"root@debian:~# dpkg --remove-architecture i3860
root@debian:~# dpkg --add-architecture i386
root@debian:~# apt update
Ign:1 http://ftp.cz.debian.org/debian stretch InRelease
Hit:2 http://ftp.cz.debian.org/debian stretch-updates InRelease
Hit:3 http://ftp.cz.debian.org/debian stretch Release
Hit:4 http://security.debian.org/debian-security stretch/updates InRelease
Get:5 http://ftp.cz.debian.org/debian stretch-updates/main i386 Packages [5,156 B]
Get:7 http://ftp.cz.debian.org/debian stretch/main i386 Packages [7,078 kB]
Get:8 http://security.debian.org/debian-security stretch/updates/main i386 Packages [455 kB]
Fetched 7,539 kB in 2s (2,985 kB/s)
Reading package lists... Done
Building dependency tree
Reading state information... Done
All packages are up to date.
root@debian:~#
"
trying repair lvm disk fsck,None,"sudo fsck.ext4 -f /dev/sda6
"
static ip network guide,None,"uto br0
iface br0 inet static

    address 192.168.0.10
    netmask 255.255.255.0
    broadcast 192.168.0.255
    gateway 192.168.0.1
    bridge_ports eth0
    bridge_stp off
    bridge_maxwait 5
"
share private ip address wi fi ethernet,None,ifconfig -a
getting public ip different ubuntu server homenetwork,None,"+-------+        +------+        +------------+                 
|       |        |      |        |            |                 
|       |        |      +--------+server      |                 
|       |        |      |        +--- --------+                 
|modem  +--------+switch|                               +------+
|       |        |      +---+    +-----------+          |      |
|       |        |      |   |    |           |    +-----+PC    |
+-------+        +------+   |    |           +----+     |      |
                            +----+           |          +------+
                                 | router    |                  
                                 |           +----+     +------+
                                 +----++-----+    |     |      |
                                      ++          +-----+      |
                                                        | PC   |
                                                        +------+
"
process accessing ips,None,lsof -n|grep TCP
block ips generating range,None,"sudo iptables -A INPUT -m limit --limit 50/minute --limit-burst 200 -j ACCEPT
"
